prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
02,2017-11-29 02:00:00,.268846750259E-03,-.989075488178E-11,.000000000000E+00,.420000000000E+02,.621875000000E+01,.493020536284E-08,-.211657342421E+01,.387430191040E-06,.173541544937E-01,.450946390629E-05,.515362784195E+04,.266400000000E+06,.270083546638E-06,.451374922080E+00,-.540167093277E-07,.948423615365E+00,.284375000000E+03,-.193414473531E+01,-.812176687562E-08,.341442793891E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.420000000000E+02,.259206000000E+06,.000000000000E+00
17,2017-11-29 02:00:00,-.141501892358E-03,.238742359215E-11,.000000000000E+00,.450000000000E+02,.418750000000E+01,.406695511929E-08,-.368619960672E+00,.303611159325E-06,.121909348527E-01,.100843608379E-04,.515372105026E+04,.266400000000E+06,-.782310962677E-07,-.494704956619E+00,.856816768646E-07,.981734521892E+00,.200281250000E+03,-.182663408253E+01,-.802854870699E-08,.195722438339E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.450000000000E+02,.259206000000E+06,.000000000000E+00
19,2017-11-29 02:00:00,-.472954474390E-03,.216004991671E-11,.000000000000E+00,.102000000000E+03,.812500000000E+00,.399730936112E-08,.261853969175E+01,-.540167093277E-07,.980747002177E-02,.986456871033E-05,.515368929100E+04,.266400000000E+06,.428408384323E-07,-.447330025274E+00,-.165775418282E-06,.979139621210E+00,.196062500000E+03,.109711214831E+01,-.764210403859E-08,.147506144223E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.102000000000E+03,.259206000000E+06,.000000000000E+00
06,2017-11-29 02:00:00,.411608722061E-03,.136424205266E-11,.000000000000E+00,.750000000000E+02,.803125000000E+01,.462733560424E-08,-.225181075458E+01,.378116965294E-06,.680618919432E-03,.506639480591E-05,.515378749847E+04,.266400000000E+06,.633299350739E-07,.500350410152E+00,.298023223877E-07,.969135110676E+00,.288343750000E+03,-.129015049698E+01,-.820248452355E-08,.197508227010E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.750000000000E+02,.259206000000E+06,.000000000000E+00
05,2017-11-29 02:00:00,-.213109888136E-04,.113686837722E-11,.000000000000E+00,.980000000000E+02,-.607187500000E+02,.486877423256E-08,.401147148337E+00,-.304728746414E-05,.528010830749E-02,.795722007751E-05,.515359758759E+04,.266400000000E+06,-.353902578354E-07,.153214127373E+01,.115483999252E-06,.946859647682E+00,.217968750000E+03,.631271671365E+00,-.829213111483E-08,-.248581783000E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.980000000000E+02,.259206000000E+06,.000000000000E+00
25,2017-11-29 02:00:00,-.497269909829E-03,-.625277607469E-11,.000000000000E+00,.550000000000E+02,-.426562500000E+02,.424410535545E-08,.206424924498E+01,-.230409204960E-05,.673394254409E-02,.711344182491E-05,.515372333336E+04,.266400000000E+06,-.158324837685E-06,-.158748119276E+01,-.726431608200E-07,.975607572280E+00,.249937500000E+03,.804893318397E+00,-.798140388608E-08,-.310370071016E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.558793544769E-08,.550000000000E+02,.259206000000E+06,.000000000000E+00
12,2017-11-29 02:00:00,.362745020539E-03,-.170530256582E-11,.000000000000E+00,.780000000000E+02,-.437187500000E+02,.387837583564E-08,.249881658275E+01,-.243261456490E-05,.661295768805E-02,.733137130737E-05,.515368767357E+04,.266400000000E+06,-.651925802231E-07,-.152989859837E+01,-.856816768646E-07,.987832798310E+00,.250625000000E+03,.907560209926E+00,-.775675167127E-08,-.345371528968E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.780000000000E+02,.259206000000E+06,.000000000000E+00
13,2017-11-29 02:00:00,-.943769700825E-04,-.341060513165E-12,.000000000000E+00,.710000000000E+02,.548125000000E+02,.420517516242E-08,-.185517368466E+01,.293552875519E-05,.363614223897E-02,.102277845144E-04,.515366421127E+04,.266400000000E+06,.111758708954E-07,.271551419202E+01,.372529029846E-07,.969216526456E+00,.186718750000E+03,.167236965195E+01,-.783604068826E-08,.192508018732E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.710000000000E+02,.259296000000E+06,.000000000000E+00
24,2017-11-29 02:00:00,-.427966006100E-04,-.454747350886E-12,.000000000000E+00,.750000000000E+02,.535000000000E+02,.523164649050E-08,-.224883085482E+01,.260770320892E-05,.636532600038E-02,.456720590591E-05,.515366503334E+04,.266400000000E+06,.912696123123E-07,-.267541471070E+01,-.128522515297E-06,.943704578112E+00,.283187500000E+03,.482571837374E+00,-.852785521940E-08,.203937066226E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.750000000000E+02,.259416000000E+06,.000000000000E+00
20,2017-11-29 02:00:00,.494107604027E-03,.102318153949E-11,.000000000000E+00,.450000000000E+02,-.549687500000E+02,.530414951055E-08,-.140839345473E+01,-.267103314400E-05,.465395930223E-02,.745244324207E-05,.515375999641E+04,.266400000000E+06,-.856816768646E-07,.144799353678E+01,.931322574615E-07,.927161076849E+00,.217656250000E+03,.172921828132E+01,-.852214069565E-08,-.192865176466E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.450000000000E+02,.259416000000E+06,.000000000000E+00
