prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
24,2017-11-28 02:00:00,-.427588820457E-04,-.454747350886E-12,.000000000000E+00,.640000000000E+02,.291562500000E+02,.521593155020E-08,-.228398444711E+01,.134482979774E-05,.636306742672E-02,.513158738613E-05,.515366463280E+04,.180000000000E+06,.800937414169E-07,-.267467507980E+01,-.150874257088E-06,.943702525638E+00,.272250000000E+03,.481792928586E+00,-.847463871700E-08,.589310261424E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.640000000000E+02,.172806000000E+06,.000000000000E+00
13,2017-11-28 02:00:00,-.943467020988E-04,-.341060513165E-12,.000000000000E+00,.420000000000E+02,.497812500000E+02,.432339437244E-08,-.189171496008E+01,.267103314400E-05,.363572116476E-02,.899285078049E-05,.515366119576E+04,.180000000000E+06,.745058059692E-08,.271619712314E+01,.372529029846E-07,.969199132360E+00,.210156250000E+03,.167304571174E+01,-.789140013706E-08,.233224000430E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.420000000000E+02,.172806000000E+06,.000000000000E+00
05,2017-11-28 02:00:00,-.214087776840E-04,.113686837722E-11,.000000000000E+00,.930000000000E+02,-.562812500000E+02,.477484174847E-08,.365472071104E+00,-.281259417534E-05,.527913914993E-02,.876747071743E-05,.515359811592E+04,.180000000000E+06,-.167638063431E-07,.153285144731E+01,.124797224998E-06,.946882172232E+00,.202562500000E+03,.630562808558E+00,-.820284168128E-08,-.121790787361E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.930000000000E+02,.172806000000E+06,.000000000000E+00
02,2017-11-28 02:00:00,.269697513431E-03,-.977706804406E-11,.000000000000E+00,.370000000000E+02,-.221250000000E+02,.489091801208E-08,-.215213413490E+01,-.107288360596E-05,.173519195523E-01,.413320958614E-05,.515362789536E+04,.180000000000E+06,.270083546638E-06,.452108527221E+00,-.800937414169E-07,.948408155246E+00,.291531250000E+03,-.193477984218E+01,-.810390898891E-08,.209294432239E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.370000000000E+02,.172806000000E+06,.000000000000E+00
17,2017-11-28 02:00:00,-.141701195389E-03,.238742359215E-11,.000000000000E+00,.770000000000E+02,.212187500000E+02,.416231623432E-08,-.403725616061E+00,.119209289551E-05,.121879081707E-01,.837631523609E-05,.515371961403E+04,.180000000000E+06,-.894069671631E-07,-.494028930471E+00,.726431608200E-07,.981710748010E+00,.232781250000E+03,-.182691503302E+01,-.813855328913E-08,.210008747707E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.770000000000E+02,.172806000000E+06,.000000000000E+00
06,2017-11-28 02:00:00,.411494169384E-03,.136424205266E-11,.000000000000E+00,.430000000000E+02,-.196250000000E+02,.458947688442E-08,-.228174074185E+01,-.106170773506E-05,.675503164530E-03,.481493771076E-05,.515378791618E+04,.180000000000E+06,.968575477600E-07,.501062947809E+00,.279396772385E-07,.969122002930E+00,.293406250000E+03,-.129518612433E+01,-.819784147300E-08,.460733477113E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.430000000000E+02,.172806000000E+06,.000000000000E+00
20,2017-11-28 02:00:00,.494014937431E-03,.113686837722E-11,.000000000000E+00,.780000000000E+02,-.508437500000E+02,.518807324693E-08,-.144267574910E+01,-.245310366154E-05,.465327512939E-02,.835396349430E-05,.515376168442E+04,.180000000000E+06,-.651925802231E-07,.144872630805E+01,.949949026108E-07,.927183124487E+00,.200343750000E+03,.172825705490E+01,-.842427947648E-08,-.835749098019E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.780000000000E+02,.172806000000E+06,.000000000000E+00
12,2017-11-28 02:00:00,.362894497812E-03,-.170530256582E-11,.000000000000E+00,.115000000000E+03,-.145937500000E+02,.380944439294E-08,.246301621536E+01,-.907108187675E-06,.661041296553E-02,.819563865662E-05,.515368879509E+04,.180000000000E+06,-.521540641785E-07,-.152922314715E+01,-.968575477600E-07,.987859171797E+00,.234031250000E+03,.907704948115E+00,-.767960560068E-08,-.258225041824E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.100000000000E+01,.000000000000E+00,-.125728547573E-07,.115000000000E+03,.172806000000E+06,.000000000000E+00
19,2017-11-28 02:00:00,-.473143532872E-03,.216004991671E-11,.000000000000E+00,.400000000000E+02,.157500000000E+02,.409338479162E-08,.258309802164E+01,.676140189171E-06,.980921043083E-02,.801123678684E-05,.515368788910E+04,.180000000000E+06,.204890966415E-07,-.446650436921E+00,-.163912773132E-06,.979113983570E+00,.231718750000E+03,.109691910750E+01,-.775139430526E-08,.144648882349E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.400000000000E+02,.172806000000E+06,.000000000000E+00
15,2017-11-28 02:00:00,-.357298180461E-03,-.113686837722E-12,.000000000000E+00,.820000000000E+02,.397500000000E+02,.519021619334E-08,-.122242601381E+01,.209361314774E-05,.996799778659E-02,.904314219952E-05,.515365395355E+04,.180000000000E+06,.203028321266E-06,.252108703378E+01,-.409781932831E-07,.928749862937E+00,.182718750000E+03,.639733087131E+00,-.832820404598E-08,.217151902391E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.820000000000E+02,.172986000000E+06,.000000000000E+00
