,prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
0,2,2017-11-04 02:00:00,0.0002897987952230386,-9.54969436862e-12,0.0,37.00136304703901,63.36965384426745,4.858228843239086e-09,-3.013861250768244,3.3719709981201378e-06,0.017210317878970226,7.365538085390301e-06,5153.615177990938,525596.4851233584,2.1129039676401476e-07,0.9507735812859174,-1.432228818910461e-07,0.947845408398236,225.74752439456952,-1.9423434637468644,-7.987390292477149e-09,6.834207842441193e-10,1.0,1973.0,0.0,0.0,0.0,-2.04890966415e-08,36.88853985277812,518602.696143529,0.0
1,2,2017-11-04 04:00:00,0.00028973012278408084,-9.54969436862e-12,0.0,38.00013246635042,64.5665827385339,4.905273905232954e-09,-1.963554283777977,3.463450223674256e-06,0.017210239938925946,7.559223387479816e-06,5153.615433013225,532797.2889351904,3.0628636637414644e-07,0.9507144077146981,-1.721281943913767e-08,0.9478482418777063,224.7163091529383,-1.9423462506359919,-8.021947070783247e-09,7.295456770237045e-10,1.0,1973.0,0.0,0.0,0.0,-2.04890966415e-08,37.88796633244732,525803.0211772915,0.0
2,2,2017-11-04 06:00:00,0.0002896608511598464,-9.54969436862e-12,0.0,39.00062299577014,69.93153784926868,5.187412266648131e-09,-0.9135200034624448,3.915023604491927e-06,0.017209878734975845,8.2932642909004e-06,5153.614331979889,539996.9568667919,-2.1700595020769384e-08,0.9506556203612382,4.496607884935235e-07,0.9478499990904045,215.06093563872446,-1.9422684910098449,-8.541642202641465e-09,5.888608440929783e-10,1.0,1973.0,0.0,0.0,0.0,-2.04890966415e-08,38.88872726271207,533002.311998977,0.0
3,2,2017-11-04 21:59:44,0.00028910873376019106,-9.54969436862e-12,0.0,41.00014203387012,65.3456019890755,5.026316580613578e-09,1.202641999325379,3.3932280639016884e-06,0.017208941060533795,9.883874112973383e-06,5153.616164415515,597581.3663972764,-2.9441170349312213e-07,0.9501620307801738,1.1239225934875266e-08,0.947882657280029,181.68428296677325,-1.942073062991558,-8.499631386588406e-09,7.881667109160502e-10,1.0,1973.0,0.0,0.0,0.0,-2.04890966415e-08,40.88897994455121,595462.7069887979,0.0
4,2,2017-11-05 00:00:00,0.00028903982555537514,-9.54969436862e-12,0.0,42.0003274390641,65.21207732176815,4.765667681491087e-09,2.255197159185692,3.242312299974688e-06,0.01720873485522513,9.550438966681038e-06,5153.616000953126,604796.5820241114,1.636270591593274e-07,0.9501007961984868,-3.2100418895404473e-07,0.9478900368637595,182.56017124657842,-1.9420792035597025,-7.948143953322248e-09,8.938654832510682e-10,1.0,1973.0,0.0,0.0,0.0,-2.04890966415e-08,41.88802332684235,597802.6174992059,0.0
5,25,2017-11-04 02:00:00,-0.0004837290361876361,-6.25277607469e-12,0.0,2.56858487776492,-120.30008951284624,4.752134958438927e-09,1.1779053425420942,-6.252235125628405e-06,0.006648198841504765,2.0407028230135317e-06,5153.438323530964,525523.8301789744,-1.0929532526034693e-08,-1.0882355538255095,1.6046925327479133e-07,0.9757881375884578,360.0167247061858,0.8114875712636883,-8.649441435228094e-09,-5.365724834446711e-10,1.0,1973.0,0.0,0.0439488934731989,0.0,5.58793544769e-09,59.590635307250935,516731.4037691228,0.0
6,25,2017-11-04 04:00:00,-0.0004837741849128591,-6.25277607469e-12,0.0,-1.3853512452989385,-120.20842390685937,4.658940810322304e-09,2.2306014440282675,-6.333441399478377e-06,0.006647889289624921,1.5695403215954017e-06,5153.339790291312,532739.1565969607,-1.392280022378939e-07,-1.0882962413964907,-8.218363185688288e-08,0.9757844950011619,369.34172429419135,0.8115736276311726,-8.444673577638412e-09,-3.8502624852126344e-10,1.0,1973.0,0.0,0.088699485997255,0.0,5.58793544769e-09,61.97542854241151,518289.8993584331,0.0
7,25,2017-11-04 06:00:00,-0.00048381959963822695,-6.25277607469e-12,0.0,-3.6310263168923207,-124.27966106274451,4.688980528823246e-09,-2.999853929547982,-6.498687545615304e-06,0.006648395571519272,1.2057962299862563e-06,5153.278813047138,539952.9710646347,-4.40038180277407e-08,-1.0883548723687078,-1.4824676349413306e-07,0.975780689189154,376.1188639672284,0.81165721746831,-8.457855372667903e-09,-3.517972252498951e-10,1.0,1973.0,0.0,0.04606397180082965,0.0,5.58793544769e-09,62.675215995819975,525500.4064805178,0.0
8,25,2017-11-04 08:00:00,-0.0004838649394341234,-6.25277607469e-12,0.0,-9.393001083293106,-129.5296950220721,4.780095410103524e-09,-1.949913987398547,-6.748464719789123e-06,0.006650069702180545,4.608322584838207e-07,5153.27431518933,547154.5527800501,6.981643713609987e-08,-1.0884138442602942,-1.0353196992309012e-07,0.9757782281567025,390.9611012519379,0.8118386758999404,-8.502248511775995e-09,-2.7744532327885704e-10,1.0,1973.0,0.0,0.07241904094849216,0.0,5.58793544769e-09,63.88970554989436,532700.9692778124,0.0
9,25,2017-11-04 10:00:00,-0.00048391002793797,-6.25277607469e-12,0.0,16.03053856698259,-133.02990322856644,4.835539529648199e-09,-0.8996839147799458,-6.7745088111370194e-06,0.006650189065273701,3.8821355546628013e-07,5153.276026937574,554353.6107913118,1.586672228889371e-07,-1.08847230899381,1.1106493734267511e-07,0.9757749113890852,393.56038176896743,0.8117594302822658,-8.696778272045748e-09,-3.8760285357435115e-10,1.0,1973.0,0.0,0.4585361749922493,0.0,5.58793544769e-09,91.63436405561437,540785.7257652608,0.0
10,25,2017-11-04 12:00:00,-0.00048395525507427317,-6.25277607469e-12,0.0,-29.39532963761911,-131.8116320918604,4.804056820365037e-09,0.15046673769440566,-6.876830432820624e-06,0.006650474645518796,5.35326986430108e-07,5153.277406335827,561554.1474527462,4.3335212380790185e-08,-1.0885329604978506,1.4589222596093298e-07,0.975771687160224,393.4916403187686,0.8117609847563212,-8.74710044146129e-09,-3.968880817884079e-10,1.0,1973.0,0.0,0.5121774260055754,0.0,5.58793544769e-09,51.17774930869676,547087.1188272238,0.0
11,25,2017-11-04 13:59:44,-0.0004839999008045555,-6.25277607469e-12,0.0,-8.219539698334936,-127.96726565413682,4.716158758766396e-09,1.1982595588053142,-6.770719922319608e-06,0.006650924759048769,4.3847407582462876e-07,5153.277622864985,568737.9400443245,-5.290312848551623e-08,-1.0885933725580095,1.1633451859537697e-07,0.9757684347338782,390.99402016657325,0.8117766325067856,-8.719421504779644e-09,-4.411910549562969e-10,1.0,1973.0,0.0,0.12705155109174837,0.0,5.58793544769e-09,63.00110809927071,554291.4692477285,0.0
12,20,2017-11-04 02:00:00,0.0004917166578845192,1.13686837722e-12,0.0,55.97490813751743,-36.616154854637735,5.7527966349817005e-09,-2.2713601351469173,-1.5181695367231732e-06,0.004642211860332208,3.291339626471446e-06,5153.7257322533,525446.2220141111,1.0318936743890621e-08,1.9480358982377015,7.579709824520869e-08,0.9272247300101831,293.4647365050979,1.707128722329435,-8.65513647244628e-09,-3.905054306531361e-10,1.0,1973.0,0.0,0.0,0.0,-8.38190317154e-09,72.27402062686957,520934.8676123395,0.0
13,20,2017-11-04 04:00:00,0.0004917241046427318,1.13686837722e-12,0.0,60.72545362554179,-33.5349317228935,5.717662585605562e-09,-1.2208488550196923,-1.241171910232094e-06,0.004642326594244096,3.2935465691682044e-06,5153.717717018495,532653.7428044623,-9.88031282308771e-08,1.9479665612467492,7.832934021316953e-08,0.9271858385809676,300.0980593261534,1.7068837839795061,-8.757186183282058e-09,-3.8557410880306743e-10,1.0,1973.0,0.0,0.0,0.0,-8.38190317154e-09,78.57969205053523,526753.2048603671,0.0
