prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
17,17 11 16 02 00 00.0,-.144300516695E-03,.250111042988E-11,.000000000000E+00,.100000000000E+02,-.237812500000E+02,.387230415415E-08,-.823453245962E+00,-.122562050819E-05,.121419375064E-01,.122319906950E-04,.515371934891E+04,.352800000000E+06,-.104308128357E-06,-.245043937989E+00,.189989805222E-06,.981747009361E+00,.158250000000E+03,-.183215402061E+01,-.784675542029E-08,.978612191697E-10,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.100000000000E+02,.345606000000E+06,.000000000000E+00
13,17 11 16 02 00 00.0,-.939927995205E-04,-.341060513165E-12,.000000000000E+00,.100000000000E+02,.612187500000E+02,.404874007485E-08,-.232864896576E+01,.313669443130E-05,.360758940224E-02,.123754143715E-04,.515366668701E+04,.352800000000E+06,.670552253723E-07,.296515493168E+01,.130385160446E-07,.969447780157E+00,.142656250000E+03,.167940380680E+01,-.768603443990E-08,.589310261424E-10,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.100000000000E+02,.345606000000E+06,.000000000000E+00
12,17 11 16 02 00 00.0,.364638399333E-03,-.170530256582E-11,.000000000000E+00,.113000000000E+03,-.874375000000E+02,.408981321428E-08,.203226378465E+01,-.468455255032E-05,.659080024343E-02,.475347042084E-05,.515369020271E+04,.352800000000E+06,-.968575477600E-07,-.128009915112E+01,-.111758708954E-06,.987898474554E+00,.302250000000E+03,.910566525596E+00,-.800319050787E-08,-.416803075807E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.113000000000E+03,.345606000000E+06,.000000000000E+00
28,17 11 16 02 00 00.0,.662894919515E-03,.306954461848E-11,.000000000000E+00,.128000000000E+03,-.802812500000E+02,.425696303388E-08,.976843944328E-01,-.417418777943E-05,.199928290676E-01,.584125518799E-05,.515366156387E+04,.352800000000E+06,-.242143869400E-06,-.125679973324E+01,-.204890966415E-07,.987192648765E+00,.285375000000E+03,-.155292541463E+01,-.843320841984E-08,-.461090634847E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.200000000000E+01,.000000000000E+00,-.111758708954E-07,.128000000000E+03,.345606000000E+06,.000000000000E+00
24,17 11 16 02 00 00.0,-.422787852585E-04,-.454747350886E-12,.000000000000E+00,.170000000000E+02,.100093750000E+03,.513021369399E-08,-.270774393775E+01,.504404306412E-05,.628467625938E-02,.496394932270E-05,.515366895103E+04,.352800000000E+06,-.707805156708E-07,-.242531309479E+01,-.165775418282E-06,.943729743229E+00,.276312500000E+03,.475347832328E+00,-.846356682724E-08,.405731186047E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.170000000000E+02,.345606000000E+06,.000000000000E+00
05,17 11 16 02 00 00.0,-.226143747568E-04,.113686837722E-11,.000000000000E+00,.960000000000E+02,-.508437500000E+02,.509556939378E-08,-.661507227117E-01,-.253506004810E-05,.528886879329E-02,.607781112194E-05,.515358470917E+04,.352800000000E+06,.875443220139E-07,.178223944739E+01,.670552253723E-07,.946819598837E+00,.253281250000E+03,.624593921392E+00,-.845499504162E-08,-.370015412627E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.960000000000E+02,.345606000000E+06,.000000000000E+00
06,17 11 16 02 00 00.0,.409954227507E-03,.159161572810E-11,.000000000000E+00,.160000000000E+02,.385312500000E+02,.458483383388E-08,-.272273609632E+01,.201910734177E-05,.632181181572E-03,.631436705589E-05,.515377776527E+04,.352800000000E+06,.540167093277E-07,.750073977306E+00,-.707805156708E-07,.968836747071E+00,.264750000000E+03,-.127337062326E+01,-.807247910830E-08,.418588864478E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.160000000000E+02,.345606000000E+06,.000000000000E+00
19,17 11 16 02 00 00.0,-.475383829325E-03,.216004991671E-11,.000000000000E+00,.130000000000E+02,-.325000000000E+02,.382623080644E-08,.215973731222E+01,-.195205211639E-05,.982379622292E-02,.125970691442E-04,.515369048119E+04,.352800000000E+06,.167638063431E-07,-.197650638245E+00,-.175088644028E-06,.979133988975E+00,.145718750000E+03,.109260296959E+01,-.753602819154E-08,.110718897601E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.130000000000E+02,.345606000000E+06,.000000000000E+00
02,17 11 16 02 00 00.0,.279812142253E-03,-.966338120634E-11,.000000000000E+00,.800000000000E+01,.411562500000E+02,.489627537809E-08,-.258199370720E+01,.217929482460E-05,.172802264569E-01,.632181763649E-05,.515361694908E+04,.352800000000E+06,.199303030968E-06,.701366178374E+00,-.987201929092E-07,.948127947918E+00,.249500000000E+03,-.193887643412E+01,-.797711799327E-08,.586810157284E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.800000000000E+01,.345606000000E+06,.000000000000E+00
20,17 11 16 02 00 00.0,.492879655212E-03,.113686837722E-11,.000000000000E+00,.120000000000E+02,-.436250000000E+02,.555415992448E-08,-.185161396171E+01,-.201910734177E-05,.465158279985E-02,.501051545143E-05,.515374979401E+04,.352800000000E+06,.409781932831E-07,.169835300077E+01,.819563865662E-07,.927079119789E+00,.261468750000E+03,.171355751067E+01,-.863143096232E-08,-.288940606965E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.120000000000E+02,.346056000000E+06,.000000000000E+00
15,17 11 16 02 00 00.0,-.357174314559E-03,-.113686837722E-12,.000000000000E+00,.430000000000E+02,.217187500000E+02,.491949063082E-08,-.164782373132E+01,.910833477974E-06,.992954790127E-02,.119656324387E-04,.515365353775E+04,.352800000000E+06,.115483999252E-06,.277056425724E+01,-.145286321640E-06,.929011502909E+00,.125875000000E+03,.632484279772E+00,-.806926468869E-08,-.357157734196E-10,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.430000000000E+02,.347796000000E+06,.000000000000E+00
25,17 11 16 02 00 00.0,-.490239821374E-03,-.625277607469E-11,.000000000000E+00,.600000000000E+02,-.779687500000E+02,.448732977244E-08,.159882704556E+01,-.409036874771E-05,.669081858359E-02,.404752790928E-05,.515372605133E+04,.352800000000E+06,-.134110450745E-06,-.133752191732E+01,.391155481339E-07,.975664598290E+00,.309906250000E+03,.810027190941E+00,-.827713048999E-08,-.380730144653E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.558793544769E-08,.600000000000E+02,.351006000000E+06,.000000000000E+00
